BLANKS,LOG2FC,LOG10TTEST,TTEST,GROUP
0,0.058291315,0.143566755,0.718510709,NotImputed (0%)
0,-0.054512341,0.280474146,0.524234808,NotImputed (0%)
0,0.082240562,0.089409868,0.813935765,NotImputed (0%)
0,-0.373657048,0.626796624,0.236158388,NotImputed (0%)
1,-0.089177438,0.659881431,0.2188359,NotImputed (0%)
0,0.056511039,0.120492244,0.757718265,NotImputed (0%)
0,-0.104080982,0.356387572,0.44016188,NotImputed (0%)
0,-0.04050028,0.114524982,0.768201265,NotImputed (0%)
0,-0.133414194,0.217752045,0.605686586,NotImputed (0%)
0,-0.20953291,0.994440015,0.101288464,NotImputed (0%)
0,-0.329323573,1.354625063,0.044195183,NotImputed (0%)
4,-0.094087299,0.153182865,0.702776345,NotImputed (0%)
0,0.056638324,0.060349751,0.870262459,NotImputed (0%)
0,-0.06962102,0.196534097,0.636012869,NotImputed (0%)
0,0.004791437,0.017223637,0.96111723,NotImputed (0%)
0,-0.182541399,1.026359472,0.09411103,NotImputed (0%)
0,0.059128124,0.341138462,0.455891545,NotImputed (0%)
0,-0.050623695,0.164755493,0.684296796,NotImputed (0%)
0,-0.012139375,0.045907018,0.899690183,NotImputed (0%)
0,0.745182994,1.182479353,0.065693235,NotImputed (0%)
0,0.003327112,0.011518128,0.973827135,NotImputed (0%)
0,0.065125638,0.330016278,0.46771761,NotImputed (0%)
0,0.035093218,0.077223324,0.837098717,NotImputed (0%)
0,-0.326064901,2.523937647,0.002992694,NotImputed (0%)
0,0.006120808,0.018192129,0.958976293,NotImputed (0%)
1,0.306583101,0.099220172,0.795755829,NotImputed (0%)
0,-0.052630876,0.072275191,0.846690739,NotImputed (0%)
0,-0.06804635,0.193420143,0.640589561,NotImputed (0%)
0,-0.062250675,0.228345397,0.591091349,NotImputed (0%)
0,-0.019438295,0.111745352,0.773133778,NotImputed (0%)
0,-0.059451879,0.173997432,0.669888571,NotImputed (0%)
0,-0.007981537,0.027331808,0.939005621,NotImputed (0%)
0,-0.061117844,0.151189422,0.706009553,NotImputed (0%)
0,-0.057409351,0.322623237,0.475747772,NotImputed (0%)
0,-0.030545571,0.033636627,0.92547219,NotImputed (0%)
0,-0.101054732,0.419894186,0.380282039,NotImputed (0%)
0,0.320168399,0.513552101,0.306512294,NotImputed (0%)
0,-0.07627255,0.058115918,0.874750263,NotImputed (0%)
0,-0.035556203,0.109885713,0.776451417,NotImputed (0%)
4,0.18658841,0.372436708,0.424192799,NotImputed (0%)
0,-0.348194449,0.453491092,0.351972642,NotImputed (0%)
0,0.033975924,0.082501653,0.826986361,NotImputed (0%)
0,-0.034747036,0.165299429,0.683440279,NotImputed (0%)
0,-0.144956779,1.291592865,0.05109838,NotImputed (0%)
0,-0.131628362,0.518803282,0.302828481,NotImputed (0%)
0,-0.050789117,0.563600894,0.27314868,NotImputed (0%)
0,-0.107999008,0.201608888,0.628624223,NotImputed (0%)
0,0.127412415,0.369723614,0.426851081,NotImputed (0%)
0,-0.090357252,0.139230158,0.725721253,NotImputed (0%)
0,-0.030523104,0.061598691,0.867763361,NotImputed (0%)
0,-0.085034562,0.22049302,0.601875936,NotImputed (0%)
0,-0.418787179,1.136673406,0.073000628,NotImputed (0%)
