MWRT,NOT,LEN,BTZ,LBH
"190.07779,14.331",102078712.4,0,140303580.5,0
"264.17208,14.332",38057204.66,0,28499473.84,0
"199.19339,14.338",72894143.82,0,78342162.4,0
"429.2715,14.338",17275239.19,0,24748672.41,0
"339.24129,14.34",34182918.34,22630167.12,176965379.2,0
"339.24122,14.34",24201698.97,0,212842859.9,0
"208.14609,14.343",93721090.26,0,110602404.2,0
"368.21886,14.368",1246547735,0,806507088.9,0
"176.15608,14.378",29444882.05,0,67226493.85,0
"250.15616,14.38",27334423.46,0,48212944.7,0
"442.07073,14.38",25897154.36,0,35730786.38,0
"342.14606,14.382",1397353708,0,915833163.2,0
"132.05748,14.393",279665699.7,0,215203102,0
"240.09931,14.394",323132576.1,0,162807628.8,0
"132.05735,14.395",151060594.8,0,224701986.6,0
"120.09386,14.395",84199777.9,0,71463211.65,0
"104.06281,14.401",295138562.8,0,255009691.3,0
"145.06502,14.402",31702100.54,0,33885381.29,0
"469.30345,14.406",88825440.99,0,461367174.5,0
"276.17213,14.407",880995576.7,580325558.5,600472993.1,0
"469.30339,14.41",1154659046,0,1040668472,0
"281.2715,14.465",58707478.28,0,68762951,0
"224.03536,14.467",31362284.66,0,32469049.52,0
"206.09392,14.469",79336636.12,47180599.64,53772521.18,0
"148.03738,14.471",59928368.33,0,58097383.15,0
"246.21918,14.484",28517742.64,0,21844195.33,0
"222.16171,14.494",28757809.17,0,28089379.84,0
"186.089,14.495",19955911.79,0,31777716.42,0
"278.15186,14.496",137246296.1,0,100520561.9,0
"246.16195,14.496",82634245.91,0,84564478.28,0
"106.04193,14.498",190826213.3,0,302699225.7,0
"252.13644,14.499",48753463.95,0,19653689.18,0
"301.16804,14.5",27088323.26,0,16418705.98,0
"149.08397,14.501",34141790.94,0,9040139.037,0
"149.08373,14.505",16522853.27,0,19588003.82,0
"234.19801,14.525",50783624.6,0,52671885.34,0
"414.10564,14.544",151142849.1,0,48325071.36,0
"344.16448,14.575",7688281.716,0,20194431.4,0
"260.17687,14.577",32633275.31,0,31357596.01,0
"261.26601,14.578",20400578.54,0,17998787.08,0
"198.08899,14.582",20426549.15,0,6860661.164,0
"250.15686,14.604",48557036.56,0,54645578.95,0
"545.39171,14.633",11717112.91,0,10020085.3,0
"226.11991,14.636",14290062.72,0,22149810.73,0
"325.26088,14.637",46169312.63,0,80108211.57,0
"270.21871,14.706",27273621.57,0,20491999.67,0
"506.13198,14.721",31168639.92,0,14093098.04,0
"310.17705,14.756",14664229.54,0,15893801.42,0
"553.16814,14.925",21767387.01,0,32456200.86,0
"256.21834,14.958",161221828.1,0,136552297.9,0
"346.18028,15.259",12498006.64,0,31054347.83,0
"359.24114,15.26",132422205.7,0,116961085.9,0
"312.19692,15.26",64583436.25,0,57208703.38,0
"566.3993,15.263",62710987.5,0,69014841.62,0
"425.38616,15.388",38122717.65,0,17371205.72,0
"286.21431,15.396",32484943.01,0,42279959.61,0
"288.23022,15.402",122366831.6,0,104158039.9,0
"228.20867,15.828",13507863.71,0,21118878.22,0
"431.24736,15.855",127936471.5,80159690.44,83115855.62,0
"410.28774,15.856",11007094.84,0,13086972.09,0
"385.27629,15.857",47580685.93,0,67757039.49,0
"300.26662,15.859",116574701.8,0,127219375.2,89801049.79
"385.27675,15.859",46867349.65,0,19476708.92,0
"453.41756,16.052",34984112.94,0,39432991.49,0
"431.24681,16.061",51909818.73,0,38512169.68,0
"311.31792,16.592",267198064.6,0,247061162.5,0
"143.13075,17.615",36912430.07,0,20337304.8,26305731.83
"108.06877,17.65",130163716.6,0,95693781.68,0
"594.15213,17.663",10350294.4,0,9468687.706,0
"200.09468,17.671",218743902.6,0,199579457.1,0
"184.97566,17.719",57499812.12,0,36176670.47,0
"163.03752,18.264",45767993.88,0,46915478.29,0
"156.09693,7.864",49707315.64,0,0,61267545.8
"156.0969,7.865",68865609.43,47551086.07,0,53205849.42
"310.15975,7.868",10253923.27,0,0,7853971.153
"451.25954,7.87",13770545.42,0,0,13412235.98
"310.15962,7.87",11275196.52,0,0,10410810.47
"377.24047,7.871",18060627.44,0,0,12724502.1
"433.24831,7.874",32823597.15,0,0,38866419.81
"238.13855,7.885",24245280.01,0,0,22782435
"294.16478,7.886",21450149.31,0,0,17411889.07
"288.19401,7.905",16607649.3,0,0,13232951.2
"184.12792,7.911",68690588.91,0,0,54888236.45
"197.17774,7.916",33831728.76,0,0,24221286.48
"290.19169,7.918",55310333.88,0,0,21671674.04
"184.14586,7.931",23290701.26,0,0,40326813.21
"304.20735,7.936",46483960.75,0,0,54697345.48
"327.11226,7.966",12309537.8,0,0,16243634.95
"239.18819,7.968",90377980.12,0,0,85470140.71
"212.15926,7.97",79301239,0,0,104648993.9
"332.25661,7.973",29104491.22,0,0,32544342.29
"157.14632,7.975",30396355.77,0,0,34417310.43
"258.16478,7.982",90140801.99,0,0,81891277.99
"344.23842,8.021",95139520.35,0,0,96950229.73
"288.21222,8.032",341732055.6,0,0,401828367.8
"240.1906,8.033",184088349.6,0,0,170066539.7
