Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Enrichment
TRUE,257.16206,11.474,0.123,2,2,42669515.22,F44,NOT,"257.16206,11.474",TRUE,257.16206,11.474,0.117,2,3,56100638.06,F33,LEN,"257.16206,11.474",1.314770927
TRUE,299.20931,11.477,0.121,2,1,8916983.729,F36,NOT,"299.20931,11.477",TRUE,299.20931,11.477,0.11,2,1,9047929.851,F25,LEN,"299.20931,11.477",1.014685024
TRUE,317.2925,11.514,0.136,2,1,37658466.63,F37,NOT,"317.2925,11.514",TRUE,317.2925,11.514,0.13,2,1,38615991.94,F25,LEN,"317.2925,11.514",1.025426561
TRUE,237.1572,11.522,0.081,2,1,12309434.06,F36,NOT,"237.1572,11.522",TRUE,237.1572,11.522,0.074,2,1,13308492.5,F28,LEN,"237.1572,11.522",1.081162012
TRUE,635.40795,11.591,0.087,3,1,16014897.74,F41,NOT,"635.40795,11.591",TRUE,635.40795,11.591,0.091,2,1,11210629.96,F33,LEN,"635.40795,11.591",0.700012585
TRUE,283.1415,11.615,0.086,2,1,10820919.91,F36,NOT,"283.1415,11.615",TRUE,283.1415,11.615,0.097,2,1,13080583.46,F26,LEN,"283.1415,11.615",1.208823609
TRUE,256.14171,11.625,0.11,2,1,20097184.99,F40,NOT,"256.14171,11.625",TRUE,256.14171,11.625,0.103,2,1,23470192.74,F28,LEN,"256.14171,11.625",1.167834836
TRUE,625.47563,11.68,0.111,3,1,51653822.34,F40,NOT,"625.47563,11.68",TRUE,625.47563,11.68,0.12,3,1,51240469.09,F27,LEN,"625.47563,11.68",0.991997625
TRUE,104.02638,11.711,0.104,2,1,219414376.8,F40,NOT,"104.02638,11.711",TRUE,104.02638,11.711,0.112,2,1,172438903.8,F29,LEN,"104.02638,11.711",0.785905219
TRUE,310.01311,11.721,0.103,3,1,34540453.77,F41,NOT,"310.01311,11.721",TRUE,310.01311,11.721,0.103,3,1,22518761.52,F34,LEN,"310.01311,11.721",0.651953262
TRUE,495.26738,11.739,0.071,3,1,77749034.7,F39,NOT,"495.26738,11.739",TRUE,495.26738,11.739,0.096,2,1,32199869.38,F27,LEN,"495.26738,11.739",0.414151372
TRUE,406.33003,11.759,0.135,2,1,60735620.39,F40,NOT,"406.33003,11.759",TRUE,406.33003,11.759,0.121,2,1,101596702.4,F28,LEN,"406.33003,11.759",1.672769649
TRUE,320.15195,11.762,0.128,2,1,24127089.71,F42,NOT,"320.15195,11.762",TRUE,320.15195,11.762,0.131,2,1,16445871.17,F30,LEN,"320.15195,11.762",0.681635098
TRUE,384.2614,11.776,0.079,4,2,224989997.8,F45,NOT,"384.2614,11.776",TRUE,384.2614,11.776,0.072,4,1,333701390.2,F33,LEN,"384.2614,11.776",1.483183224
TRUE,380.24059,11.799,0.074,3,2,354246787.1,F35,NOT,"380.24059,11.799",TRUE,380.24059,11.799,0.076,3,3,812622582.4,F27,LEN,"380.24059,11.799",2.29394482
TRUE,372.18334,11.808,0.132,2,1,83111601.7,F35,NOT,"372.18334,11.808",TRUE,372.18334,11.808,0.115,3,1,35261373.13,F27,LEN,"372.18334,11.808",0.424265354
TRUE,446.27703,11.863,0.092,3,1,22383769.9,F41,NOT,"446.27703,11.863",TRUE,446.27703,11.863,0.087,2,1,43910730.61,F34,LEN,"446.27703,11.863",1.961721855
TRUE,195.19823,11.892,0.081,2,1,90578879.08,F42,NOT,"195.19823,11.892",TRUE,195.19823,11.892,0.104,2,1,36576164.16,F30,LEN,"195.19823,11.892",0.403804557
TRUE,368.26689,11.904,0.103,2,1,51032586.78,F40,NOT,"368.26689,11.904",TRUE,368.26689,11.904,0.095,2,1,47840355.51,F29,LEN,"368.26689,11.904",0.937447199
TRUE,368.26659,11.906,0.088,2,1,36006289.89,F44,NOT,"368.26659,11.906",TRUE,368.26659,11.906,0.094,2,1,65807597.31,F33,LEN,"368.26659,11.906",1.827669485
TRUE,292.21419,11.912,0.08,2,1,11842740.35,F41,NOT,"292.21419,11.912",TRUE,292.21419,11.912,0.081,2,1,18152342.55,F34,LEN,"292.21419,11.912",1.53278228
TRUE,212.18855,11.941,0.093,2,1,10527556.08,F37,NOT,"212.18855,11.941",TRUE,212.18855,11.941,0.109,2,1,61270295.2,F27,LEN,"212.18855,11.941",5.819992288
TRUE,197.14132,11.943,0.097,3,3,723392231.6,F39,NOT,"197.14132,11.943",TRUE,197.14132,11.943,0.103,3,5,1917072004,F27,LEN,"197.14132,11.943",2.650114171
TRUE,340.27175,11.953,0.128,2,1,167511658.3,F42,NOT,"340.27175,11.953",TRUE,340.27175,11.953,0.119,2,1,55173009.41,F30,LEN,"340.27175,11.953",0.329368176
TRUE,211.15668,11.956,0.104,2,1,30210952.87,F44,NOT,"211.15668,11.956",TRUE,211.15668,11.956,0.104,2,2,73138828.43,F34,LEN,"211.15668,11.956",2.420937491
TRUE,524.2827,11.973,0.08,3,2,31533747.2,F37,NOT,"524.2827,11.973",TRUE,524.2827,11.973,0.079,3,2,329770218.6,F27,LEN,"524.2827,11.973",10.45769209
TRUE,260.12532,11.974,0.082,2,3,132028999,F41,NOT,"260.12532,11.974",TRUE,260.12532,11.974,0.085,2,3,164714456.5,F33,LEN,"260.12532,11.974",1.247562715
