Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,416.07637,11.572,0.078,3,1,16256551.24,F38,NOT,"416.07637,11.572",TRUE,416.07637,11.572,0.086,2,1,12506433.53,F3,BTZ,"416.07637,11.572",0.769316526
TRUE,337.2459,11.574,0.086,2,1,8463146.057,F37,NOT,"337.2459,11.574",TRUE,337.2459,11.574,0.075,4,1,46604599.17,F3,BTZ,"337.2459,11.574",5.506770042
TRUE,565.41777,11.579,0.16,2,1,13243648.84,F44,NOT,"565.41777,11.579",TRUE,565.41777,11.579,0.133,2,1,12850006.62,F8,BTZ,"565.41777,11.579",0.970276906
TRUE,635.40831,11.59,0.091,2,1,9300555.955,F39,NOT,"635.40831,11.59",TRUE,635.40831,11.59,0.083,2,1,12205778.24,F7,BTZ,"635.40831,11.59",1.312370819
TRUE,609.44451,11.592,0.139,2,1,17356401.01,F37,NOT,"609.44451,11.592",TRUE,609.44451,11.592,0.143,2,1,20544759.5,F4,BTZ,"609.44451,11.592",1.183699287
TRUE,285.15712,11.598,0.188,2,1,97662613.25,F38,NOT,"285.15712,11.598",TRUE,285.15712,11.598,0.201,2,1,91348897.61,F4,BTZ,"285.15712,11.598",0.935351764
TRUE,299.13625,11.602,0.126,2,1,10545177.63,F40,NOT,"299.13625,11.602",TRUE,299.13625,11.602,0.128,2,1,12073275.59,F7,BTZ,"299.13625,11.602",1.144909646
TRUE,299.13625,11.602,0.126,2,1,10545177.63,F40,NOT,"299.13625,11.602",TRUE,299.13625,11.602,0.117,2,1,9205030.812,F6,BTZ,"299.13625,11.602",0.872913775
TRUE,283.1411,11.617,0.1,2,1,14412851.43,F41,NOT,"283.1411,11.617",TRUE,283.1411,11.617,0.089,2,1,11459088.31,F12,BTZ,"283.1411,11.617",0.795060462
TRUE,268.25105,11.618,0.073,2,1,16223391.24,F37,NOT,"268.25105,11.618",TRUE,268.25105,11.618,0.072,2,1,67331339.61,F3,BTZ,"268.25105,11.618",4.150262951
TRUE,354.25115,11.643,0.101,2,1,12606347.67,F40,NOT,"354.25115,11.643",TRUE,354.25115,11.643,0.094,2,1,10317260.66,F6,BTZ,"354.25115,11.643",0.818417906
TRUE,625.47508,11.679,0.12,3,1,55450822.78,F44,NOT,"625.47508,11.679",TRUE,625.47508,11.679,0.115,3,1,62672924.42,F12,BTZ,"625.47508,11.679",1.130243363
