P08621,SNRNP70
Q9UHX1,PUF60
P36871,PGM1
Q9Y490,TLN1
P45973,CBX5
Q7KZF4,SND1
P05388,RPLP0
O96019,ACTL6A
Q9BXS5,AP1M1
O95819,MAP4K4
Q16543,CDC37
Q9NZ08,ERAP1
P15170,GSPT1
Q9UQ80,PA2G4
O76011,KRT34
Q15102,PAFAH1B3
Q9Y383,LUC7L2
P23396,RPS3
Q15056,EIF4H
P38606,ATP6V1A
P63010,AP2B1
Q13442,PDAP1
Q99873,PRMT1
P62424,RPL7A
Q16775,HAGH
P68363,TUBA1B
P52565,ARHGDIA
Q99798,ACO2
Q15437,SEC23B
Q08170,SRSF4
Q9Y3C6,PPIL1
Q92922,SMARCC1
O75083,WDR1
Q96EB6,SIRT1
P27694,RPA1
P27707,DCK
P09651,HNRNPA1
P13489,RNH1
P60709,ACTB
Q00839,HNRNPU
P00492,HPRT1
Q16555,DPYSL2
P46783,RPS10
Q15393,SF3B3
Q86VP6,CAND1
Q15019,SEPTIN2
P63241,EIF5A
P61158,ACTR3
P19623,SRM
P13693,TPT1
Q01518,CAP1
O75494,SRSF10
Q01130,SRSF2
Q9P016,THYN1
P49841,GSK3B
P22234,PAICS
Q08211,DHX9
Q9Y570,PPME1
P32969,RPL9
P32969,RPL9P7
P32969,RPL9P8
P32969,RPL9P9
Q13263,TRIM28
Q9UJ70,NAGK
P62244,RPS15A
P39687,ANP32A
P61163,ACTR1A
Q86V81,ALYREF
P26583,HMGB2
P62753,RPS6
